Price,Date,County,Ozone,PM2.5,Conductance,PH,oil_count,Gas_Well_Number,positive_tests,fire
477600,2014-10,Los Angeles,0.054061008,14.58159509,551,8.3,5,1.712460064,0,17
434070,2014-11,Los Angeles,0.038426934,10.85797872,579.5,8.45,2,1.712460064,0,15
464650,2014-12,Los Angeles,0.027791086,12.7083682,577.6666667,8.133333333,2,1.712460064,0,13
441610,2015-01,Los Angeles,0.027743516,17.14422442,557.3333333,8.1,3,1.712460064,0,19
419260,2015-02,Los Angeles,0.040690402,17.82236842,560.6666667,8.08920385,2,1.712460064,0,12
419370,2015-03,Los Angeles,0.05011811,11.61323529,2348.583499,8.08920385,5,1.712460064,0,14
427010,2015-04,Los Angeles,0.056058981,10.48656716,2348.583499,8.08920385,4,1.712460064,0,12
432570,2015-05,Los Angeles,0.051710027,11.47794118,2348.583499,8.08920385,7,1.712460064,0,13
473290,2015-06,Los Angeles,0.056981183,13.59211356,2348.583499,8.08920385,6,1,0,17
490360,2015-07,Los Angeles,0.04542623,11.51310976,2348.583499,8.08920385,8,1.712460064,0,10
492360,2015-08,Los Angeles,0.056465608,13.68584615,2348.583499,8.08920385,9,1,0,8
517750,2015-09,Los Angeles,0.054824324,11.68846154,2348.583499,8.08920385,6,1.712460064,0,8
509570,2015-10,Los Angeles,0.046978947,9.94852071,2348.583499,8.08920385,3,1.712460064,0,11
457870,2015-11,Los Angeles,0.03833795,8.735576923,2348.583499,8.08920385,8,1.712460064,0,13
502750,2015-12,Los Angeles,0.029231638,10.55828025,2348.583499,8.08920385,4,1.712460064,0,9
480950,2016-01,Los Angeles,0.029063325,11.54763092,2348.583499,8.08920385,4,1.712460064,0,8
444410,2016-02,Los Angeles,0.042250689,10.56105263,2348.583499,8.08920385,4,1.712460064,0,11
441700,2016-03,Los Angeles,0.045529563,11.23274559,2348.583499,8.08920385,3,1.712460064,0,10
457180,2016-04,Los Angeles,0.049936508,9.536760925,2348.583499,8.08920385,3,1.712460064,0,9
467290,2016-05,Los Angeles,0.046103627,9.510406091,2348.583499,8.08920385,3,1.712460064,0,8
502190,2016-06,Los Angeles,0.057942408,14.00859375,2348.583499,8.08920385,5,1.712460064,0,7
513700,2016-07,Los Angeles,0.057831633,13.16495098,2348.583499,8.08920385,5,1.712460064,0,9
520400.154,2016-08,Los Angeles,0.056261538,12.29704433,2348.583499,8.08920385,5,1.712460064,0,10
550705.37,2016-09,Los Angeles,0.050498645,11.45012531,2348.583499,8.08920385,4,1.712460064,0,8
536760,2016-10,Los Angeles,0.040451531,9.428855721,2348.583499,8.08920385,4,1.712460064,0,11
487060,2016-11,Los Angeles,0.037417112,11.446875,2348.583499,8.08920385,4,1.712460064,0,6
522520,2016-12,Los Angeles,0.02872679,13.26256545,2348.583499,8.08920385,4,1.712460064,0,6
509130,2017-01,Los Angeles,0.032423077,10.06321244,2348.583499,8.08920385,4,1.712460064,0,11
470200,2017-02,Los Angeles,0.033592593,8.36022409,2348.583499,8.08920385,3,1.712460064,0,12
465810,2017-03,Los Angeles,0.046544737,11.13659148,564,9,3,1.712460064,0,15
480230,2017-04,Los Angeles,0.052839674,9.811780105,2348.583499,8.08920385,3,1.712460064,0,8
492040,2017-05,Los Angeles,0.051428571,10.89336493,2348.583499,8.08920385,3,1.712460064,0,7
548220,2017-06,Los Angeles,0.056755968,12.24632911,2348.583499,8.08920385,2,1.712460064,0,9
566240,2017-07,Los Angeles,0.057194937,13.67783251,2348.583499,8.08920385,2,1.712460064,0,6
570720,2017-08,Los Angeles,0.060384,13.7318408,2348.583499,8.08920385,2,1.712460064,0,7
606110,2017-09,Los Angeles,0.053169591,11.45291139,2348.583499,8.08920385,1,1.712460064,0,9
580360,2017-10,Los Angeles,0.053215297,13.42874396,2348.583499,8.08920385,1,1.712460064,0,8
530920,2017-11,Los Angeles,0.035351906,11.56634146,2348.583499,8.08920385,1,1.712460064,0,9
