,County,Date,Ozone,PM2.5
0,Alameda,2010-01,0.019297520661157024,12.3
1,Alameda,2010-02,0.02655357142857143,7.696666666666666
2,Alameda,2010-03,0.03536585365853658,6.733950617283951
3,Alameda,2010-04,0.038224137931034484,6.420134228187919
4,Alameda,2010-05,0.03492561983471074,5.909032258064516
5,Alameda,2010-06,0.029837606837606837,7.917088607594938
6,Alameda,2010-07,0.030395161290322582,9.14320987654321
7,Alameda,2010-08,0.029959677419354836,6.35875
8,Alameda,2010-09,0.034083333333333334,7.921985815602837
9,Alameda,2010-10,0.0301025641025641,8.875
10,Alameda,2010-11,0.02602247191011236,8.99140625
11,Alameda,2010-12,0.021097087378640775,10.479850746268657
12,Alameda,2011-01,0.01753846153846154,14.654135338345865
13,Alameda,2011-02,0.03107142857142857,7.657851239669422
14,Alameda,2011-03,0.03368817204301075,6.687378640776698
15,Alameda,2011-04,0.03843333333333333,7.016842105263158
16,Alameda,2011-05,0.03967741935483871,6.749514563106796
17,Alameda,2011-06,0.03238135593220339,7.86
18,Alameda,2011-07,0.027894308943089433,7.904901960784313
19,Alameda,2011-08,0.02688709677419355,7.749019607843137
20,Alameda,2011-09,0.03713333333333334,9.578350515463917
21,Alameda,2011-10,0.031016528925619836,8.913978494623656
22,Alameda,2011-11,0.024615384615384615,10.279000000000002
23,Alameda,2011-12,0.017933333333333336,17.076470588235292
24,Alameda,2012-01,0.018325301204819275,12.410679611650485
25,Alameda,2012-02,0.027023255813953487,7.435051546391753
26,Alameda,2012-03,0.03369892473118279,4.695145631067962
27,Alameda,2012-04,0.03630769230769231,5.942424242424242
28,Alameda,2012-05,0.03900840336134454,9.84020618556701
29,Alameda,2012-06,0.030916666666666665,6.534042553191489
30,Alameda,2012-07,0.029723577235772358,7.023300970873787
31,Alameda,2012-08,0.030344262295081966,6.568627450980392
32,Alameda,2012-09,0.033907563025210086,9.672527472527474
33,Alameda,2012-10,0.030058823529411763,6.353398058252427
34,Alameda,2012-11,0.028452991452991454,8.756
35,Alameda,2012-12,0.02442696629213483,7.436458333333333
36,Alameda,2013-01,0.021206521739130436,15.893684210526317
37,Alameda,2013-02,0.027428571428571427,10.522340425531915
38,Alameda,2013-03,0.03215217391304348,8.036633663366336
39,Alameda,2013-04,0.038933333333333334,7.880219780219781
40,Alameda,2013-05,0.0385327868852459,9.450485436893203
41,Alameda,2013-06,0.028833333333333332,7.843478260869565
42,Alameda,2013-07,0.030508064516129033,10.80108695652174
43,Alameda,2013-08,0.02449166666666667,5.71734693877551
44,Alameda,2013-09,0.031136752136752138,5.839583333333334
45,Alameda,2013-10,0.03215833333333333,10.134
46,Alameda,2013-11,0.027342105263157893,13.328
47,Alameda,2013-12,0.021295454545454548,19.015533980582525
48,Alameda,2014-01,0.022285714285714287,16.916
49,Alameda,2014-02,0.02724096385542169,6.501801801801802
50,Alameda,2014-03,0.035195652173913045,6.754135338345864
51,Alameda,2014-04,0.041975,8.01732283464567
52,Alameda,2014-05,0.04063709677419355,7.244029850746269
53,Alameda,2014-06,0.0327542372881356,8.946774193548388
54,Alameda,2014-07,0.02911382113821138,6.326865671641791
55,Alameda,2014-08,0.030137096774193548,6.614615384615385
56,Alameda,2014-09,0.03560169491525424,8.882307692307693
57,Alameda,2014-10,0.03605691056910569,7.691044776119402
58,Alameda,2014-11,0.02807627118644068,10.896799999999999
59,Alameda,2014-12,0.023303370786516852,7.861832061068703
60,Alameda,2015-01,0.017255555555555555,19.188709677419357
61,Alameda,2015-02,0.027345238095238096,10.331531531531532
62,Alameda,2015-03,0.03496703296703297,8.963793103448275
63,Alameda,2015-04,0.04394594594594594,7.909009009009009
64,Alameda,2015-05,0.040814569536423845,7.372580645161291
65,Alameda,2015-06,0.03868666666666667,9.25
66,Alameda,2015-07,0.03209150326797386,5.983739837398374
67,Alameda,2015-08,0.03547402597402598,9.998347107438017
68,Alameda,2015-09,0.03910738255033557,7.92
69,Alameda,2015-10,0.034993421052631576,7.781451612903226
70,Alameda,2015-11,0.030222222222222223,8.394690265486727
71,Alameda,2015-12,0.02576271186440678,8.192682926829269
72,Alameda,2016-01,0.026292682926829267,7.907964601769912
73,Alameda,2016-02,0.030267241379310347,9.441379310344828
74,Alameda,2016-03,0.034782258064516125,5.805645161290323
75,Alameda,2016-04,0.0423,7.068333333333333
76,Alameda,2016-05,0.03736184210526316,7.8754098360655735
77,Alameda,2016-06,0.03909655172413793,8.4425
78,Alameda,2016-07,0.03212290502793296,6.862091503267974
79,Alameda,2016-08,0.03256906077348066,6.6879194630872485
80,Alameda,2016-09,0.035767045454545454,10.143589743589743
81,Alameda,2016-10,0.03169021739130435,5.48
82,Alameda,2016-11,0.0283,7.865333333333333
83,Alameda,2016-12,0.023993006993006993,9.216176470588236
84,Alameda,2017-01,0.02784313725490196,9.133793103448276
85,Alameda,2017-02,0.032470149253731345,6.278676470588235
86,Alameda,2017-03,0.03423489932885906,6.682894736842105
87,Alameda,2017-04,0.03928187919463087,6.756756756756757
88,Alameda,2017-05,0.034306666666666666,7.989333333333334
89,Alameda,2017-06,0.028584507042253522,8.198666666666666
90,Alameda,2017-07,0.02786184210526316,9.40536912751678
91,Alameda,2017-08,0.03210135135135135,10.975657894736841
92,Alameda,2017-09,0.03920610687022901,14.324
93,Alameda,2017-10,0.0368,16.229411764705883
94,Alameda,2017-11,0.025768707482993196,9.246666666666666
95,Alameda,2017-12,0.02138333333333333,17.916233766233766
96,Alameda,2018-01,0.021473333333333334,14.014935064935067
97,Alameda,2018-02,0.03178358208955224,9.330434782608695
