,area,date,positive_tests
204,Del Norte,2020-06,27
205,Del Norte,2020-07,33
206,Del Norte,2020-08,23
207,Del Norte,2020-09,27
208,Del Norte,2020-10,43
209,Del Norte,2020-11,227
210,Del Norte,2020-12,413
211,Del Norte,2021-01,110
212,Del Norte,2021-02,126
213,Del Norte,2021-03,240
214,Del Norte,2021-04,158
215,Del Norte,2021-05,113
216,Del Norte,2021-06,79
217,Del Norte,2021-07,249
218,Del Norte,2021-08,1471
219,Del Norte,2021-09,614
220,Del Norte,2021-10,143
221,Del Norte,2021-11,109
222,Del Norte,2021-12,132
223,Del Norte,2022-01,838
225,El Dorado,2020-02,0
226,El Dorado,2020-03,20
227,El Dorado,2020-04,35
228,El Dorado,2020-05,65
229,El Dorado,2020-06,131
230,El Dorado,2020-07,444
231,El Dorado,2020-08,213
232,El Dorado,2020-09,213
233,El Dorado,2020-10,227
234,El Dorado,2020-11,1439
235,El Dorado,2020-12,3435
236,El Dorado,2021-01,2026
237,El Dorado,2021-02,679
238,El Dorado,2021-03,403
239,El Dorado,2021-04,629
240,El Dorado,2021-05,374
241,El Dorado,2021-06,227
242,El Dorado,2021-07,1005
243,El Dorado,2021-08,3015
244,El Dorado,2021-09,1471
245,El Dorado,2021-10,1034
246,El Dorado,2021-11,920
247,El Dorado,2021-12,1897
248,El Dorado,2022-01,6546
250,Fresno,2020-02,3
251,Fresno,2020-03,62
252,Fresno,2020-04,663
253,Fresno,2020-05,1642
254,Fresno,2020-06,5757
255,Fresno,2020-07,13895
256,Fresno,2020-08,7937
257,Fresno,2020-09,3565
258,Fresno,2020-10,3885
259,Fresno,2020-11,11717
260,Fresno,2020-12,32542
261,Fresno,2021-01,23140
262,Fresno,2021-02,6746
263,Fresno,2021-03,4372
264,Fresno,2021-04,2257
265,Fresno,2021-05,1477
266,Fresno,2021-06,908
267,Fresno,2021-07,4033
268,Fresno,2021-08,16080
269,Fresno,2021-09,13996
270,Fresno,2021-10,11855
271,Fresno,2021-11,8128
272,Fresno,2021-12,10469
273,Fresno,2022-01,64337
275,Glenn,2020-02,0
276,Glenn,2020-03,2
277,Glenn,2020-04,2
278,Glenn,2020-05,15
279,Glenn,2020-06,98
280,Glenn,2020-07,202
281,Glenn,2020-08,99
282,Glenn,2020-09,151
283,Glenn,2020-10,102
284,Glenn,2020-11,346
285,Glenn,2020-12,613
286,Glenn,2021-01,506
287,Glenn,2021-02,151
288,Glenn,2021-03,106
289,Glenn,2021-04,38
290,Glenn,2021-05,50
291,Glenn,2021-06,24
292,Glenn,2021-07,40
293,Glenn,2021-08,419
294,Glenn,2021-09,388
295,Glenn,2021-10,210
296,Glenn,2021-11,106
297,Glenn,2021-12,160
298,Glenn,2022-01,909
300,Humboldt,2020-02,0
301,Humboldt,2020-03,34
302,Humboldt,2020-04,24
303,Humboldt,2020-05,68
304,Humboldt,2020-06,44
305,Humboldt,2020-07,90
306,Humboldt,2020-08,140
307,Humboldt,2020-09,112
308,Humboldt,2020-10,86
309,Humboldt,2020-11,361
310,Humboldt,2020-12,973
311,Humboldt,2021-01,1030
312,Humboldt,2021-02,378
313,Humboldt,2021-03,303
314,Humboldt,2021-04,465
315,Humboldt,2021-05,527
316,Humboldt,2021-06,337
317,Humboldt,2021-07,837
318,Humboldt,2021-08,2437
319,Humboldt,2021-09,1543
320,Humboldt,2021-10,807
321,Humboldt,2021-11,825
322,Humboldt,2021-12,1395
323,Humboldt,2022-01,4759
325,Imperial,2020-02,0
326,Imperial,2020-03,49
327,Imperial,2020-04,328
328,Imperial,2020-05,2647
329,Imperial,2020-06,5135
330,Imperial,2020-07,3131
331,Imperial,2020-08,1484
332,Imperial,2020-09,885
333,Imperial,2020-10,1474
334,Imperial,2020-11,3780
335,Imperial,2020-12,6970
336,Imperial,2021-01,3260
337,Imperial,2021-02,839
338,Imperial,2021-03,567
339,Imperial,2021-04,854
340,Imperial,2021-05,517
341,Imperial,2021-06,308
342,Imperial,2021-07,905
343,Imperial,2021-08,2329
344,Imperial,2021-09,1793
345,Imperial,2021-10,2305
346,Imperial,2021-11,2536
347,Imperial,2021-12,4320
348,Imperial,2022-01,15732
350,Inyo,2020-02,0
351,Inyo,2020-03,10
352,Inyo,2020-04,11
353,Inyo,2020-05,2
354,Inyo,2020-06,13
355,Inyo,2020-07,30
356,Inyo,2020-08,115
357,Inyo,2020-09,8
358,Inyo,2020-10,37
359,Inyo,2020-11,69
360,Inyo,2020-12,260
361,Inyo,2021-01,329
362,Inyo,2021-02,202
363,Inyo,2021-03,82
364,Inyo,2021-04,26
365,Inyo,2021-05,3
366,Inyo,2021-06,9
367,Inyo,2021-07,35
368,Inyo,2021-08,89
369,Inyo,2021-09,177
