,County,Date,Count
237,San Benito,2019-10,0
238,San Benito,2019-11,0
239,San Benito,2019-12,0
240,San Benito,2020-01,0
241,San Benito,2020-02,0
242,San Benito,2020-03,0
243,San Benito,2020-04,0
244,San Benito,2020-05,0
245,San Benito,2020-06,0
246,San Benito,2020-07,0
247,San Benito,2020-08,0
248,San Benito,2020-09,0
249,San Benito,2020-10,0
250,San Benito,2020-11,0
251,San Benito,2020-12,0
252,San Benito,2021-01,0
253,San Benito,2021-02,0
254,San Benito,2021-03,0
255,San Benito,2021-04,0
256,San Benito,2021-05,0
257,San Benito,2021-06,0
258,San Benito,2021-07,0
259,San Benito,2021-08,0
260,San Benito,2021-09,0
261,San Benito,2021-10,0
262,San Benito,2021-11,0
263,San Benito,2021-12,0
264,Fresno,2011-01,3
265,Fresno,2011-02,9
266,Fresno,2011-03,10
267,Fresno,2011-04,5
268,Fresno,2011-05,0
269,Fresno,2011-06,1
270,Fresno,2011-07,1
271,Fresno,2011-08,5
272,Fresno,2011-09,5
273,Fresno,2011-10,3
274,Fresno,2011-11,2
275,Fresno,2011-12,0
276,Fresno,2012-01,1
277,Fresno,2012-02,3
278,Fresno,2012-03,7
279,Fresno,2012-04,7
280,Fresno,2012-05,5
281,Fresno,2012-06,4
282,Fresno,2012-07,1
283,Fresno,2012-08,0
284,Fresno,2012-09,1
285,Fresno,2012-10,0
286,Fresno,2012-11,0
287,Fresno,2012-12,2
288,Fresno,2013-01,7
289,Fresno,2013-02,5
290,Fresno,2013-03,1
291,Fresno,2013-04,3
292,Fresno,2013-05,11
293,Fresno,2013-06,7
294,Fresno,2013-07,7
295,Fresno,2013-08,4
296,Fresno,2013-09,1
297,Fresno,2013-10,5
298,Fresno,2013-11,10
299,Fresno,2013-12,7
300,Fresno,2014-01,3
301,Fresno,2014-02,5
302,Fresno,2014-03,11
303,Fresno,2014-04,7
304,Fresno,2014-05,4
305,Fresno,2014-06,10
306,Fresno,2014-07,7
307,Fresno,2014-08,6
308,Fresno,2014-09,1
309,Fresno,2014-10,0
310,Fresno,2014-11,0
311,Fresno,2014-12,7
312,Fresno,2015-01,8
313,Fresno,2015-02,5
314,Fresno,2015-03,7
315,Fresno,2015-04,10
316,Fresno,2015-05,8
317,Fresno,2015-06,0
318,Fresno,2015-07,1
319,Fresno,2015-08,0
320,Fresno,2015-09,0
321,Fresno,2015-10,0
322,Fresno,2015-11,2
323,Fresno,2015-12,4
324,Fresno,2016-01,4
325,Fresno,2016-02,0
326,Fresno,2016-03,0
327,Fresno,2016-04,1
328,Fresno,2016-05,0
329,Fresno,2016-06,1
330,Fresno,2016-07,1
331,Fresno,2016-08,0
332,Fresno,2016-09,0
333,Fresno,2016-10,1
334,Fresno,2016-11,0
335,Fresno,2016-12,0
336,Fresno,2017-01,0
337,Fresno,2017-02,0
338,Fresno,2017-03,0
339,Fresno,2017-04,0
340,Fresno,2017-05,1
341,Fresno,2017-06,0
342,Fresno,2017-07,1
343,Fresno,2017-08,1
344,Fresno,2017-09,1
345,Fresno,2017-10,0
346,Fresno,2017-11,0
347,Fresno,2017-12,1
348,Fresno,2018-01,1
349,Fresno,2018-02,4
350,Fresno,2018-03,2
351,Fresno,2018-04,1
352,Fresno,2018-05,1
353,Fresno,2018-06,0
354,Fresno,2018-07,0
355,Fresno,2018-08,1
356,Fresno,2018-09,8
357,Fresno,2018-10,3
358,Fresno,2018-11,7
359,Fresno,2018-12,1
360,Fresno,2019-01,0
361,Fresno,2019-02,2
362,Fresno,2019-03,4
363,Fresno,2019-04,2
364,Fresno,2019-05,5
365,Fresno,2019-06,1
366,Fresno,2019-07,0
367,Fresno,2019-08,0
368,Fresno,2019-09,0
369,Fresno,2019-10,0
370,Fresno,2019-11,0
371,Fresno,2019-12,2
372,Fresno,2020-01,3
373,Fresno,2020-02,3
374,Fresno,2020-03,4
375,Fresno,2020-04,1
376,Fresno,2020-05,0
377,Fresno,2020-06,0
378,Fresno,2020-07,1
379,Fresno,2020-08,0
380,Fresno,2020-09,0
381,Fresno,2020-10,0
382,Fresno,2020-11,0
383,Fresno,2020-12,0
384,Fresno,2021-01,0
385,Fresno,2021-02,0
386,Fresno,2021-03,0
387,Fresno,2021-04,0
388,Fresno,2021-05,0
389,Fresno,2021-06,0
390,Fresno,2021-07,0
391,Fresno,2021-08,0
392,Fresno,2021-09,0
393,Fresno,2021-10,0
394,Fresno,2021-11,0
395,Fresno,2021-12,0
396,Kings,2011-01,0
397,Kings,2011-02,0
398,Kings,2011-03,0
399,Kings,2011-04,1
400,Kings,2011-05,0
401,Kings,2011-06,2
402,Kings,2011-07,1
403,Kings,2011-08,0
404,Kings,2011-09,1
405,Kings,2011-10,1
406,Kings,2011-11,0
407,Kings,2011-12,0
408,Kings,2012-01,1
409,Kings,2012-02,0
410,Kings,2012-03,1
411,Kings,2012-04,0
412,Kings,2012-05,1
413,Kings,2012-06,0
414,Kings,2012-07,1
415,Kings,2012-08,0
416,Kings,2012-09,0
417,Kings,2012-10,0
418,Kings,2012-11,0
419,Kings,2012-12,0
420,Kings,2013-01,0
421,Kings,2013-02,1
422,Kings,2013-03,0
423,Kings,2013-04,0
424,Kings,2013-05,2
425,Kings,2013-06,0
426,Kings,2013-07,1
427,Kings,2013-08,0
428,Kings,2013-09,0
429,Kings,2013-10,0
430,Kings,2013-11,0
431,Kings,2013-12,0
432,Kings,2014-01,0
433,Kings,2014-02,0
434,Kings,2014-03,1
435,Kings,2014-04,0
436,Kings,2014-05,0
437,Kings,2014-06,4
438,Kings,2014-07,0
439,Kings,2014-08,0
440,Kings,2014-09,3
441,Kings,2014-10,2
442,Kings,2014-11,1
443,Kings,2014-12,0
444,Kings,2015-01,0
445,Kings,2015-02,0
446,Kings,2015-03,0
447,Kings,2015-04,0
448,Kings,2015-05,0
449,Kings,2015-06,0
450,Kings,2015-07,0
451,Kings,2015-08,0
452,Kings,2015-09,0
453,Kings,2015-10,0
454,Kings,2015-11,0
455,Kings,2015-12,0
456,Kings,2016-01,0
457,Kings,2016-02,0
458,Kings,2016-03,0
459,Kings,2016-04,0
460,Kings,2016-05,0
461,Kings,2016-06,0
462,Kings,2016-07,0
463,Kings,2016-08,0
464,Kings,2016-09,0
465,Kings,2016-10,0
466,Kings,2016-11,0
467,Kings,2016-12,0
468,Kings,2017-01,0
469,Kings,2017-02,0
470,Kings,2017-03,0
471,Kings,2017-04,2
472,Kings,2017-05,1
473,Kings,2017-06,0
474,Kings,2017-07,1
475,Kings,2017-08,0
476,Kings,2017-09,1
477,Kings,2017-10,0
478,Kings,2017-11,0
479,Kings,2017-12,0
480,Kings,2018-01,0
481,Kings,2018-02,1
482,Kings,2018-03,0
483,Kings,2018-04,0
484,Kings,2018-05,0
485,Kings,2018-06,0
486,Kings,2018-07,0
487,Kings,2018-08,0
488,Kings,2018-09,0
489,Kings,2018-10,0
490,Kings,2018-11,0
491,Kings,2018-12,0
492,Kings,2019-01,0
493,Kings,2019-02,0
494,Kings,2019-03,0
495,Kings,2019-04,0
496,Kings,2019-05,0
497,Kings,2019-06,0
498,Kings,2019-07,0
499,Kings,2019-08,0
500,Kings,2019-09,0
501,Kings,2019-10,0
502,Kings,2019-11,0
503,Kings,2019-12,0
504,Kings,2020-01,0
