,County,Date,fire
564,Humboldt,2015-06,1
566,Humboldt,2015-07,1
570,Humboldt,2015-08,1
574,Humboldt,2016-08,1
579,Humboldt,2016-09,1
580,Humboldt,2017-08,1
585,Humboldt,2017-10,1
586,Humboldt,2018-01,1
592,Humboldt,2018-04,1
593,Humboldt,2018-07,1
594,Humboldt,2018-08,1
595,Humboldt,2018-11,1
596,Humboldt,2019-01,1
602,Inyo,2013-02,1
604,Inyo,2014-04,1
606,Inyo,2014-09,1
608,Inyo,2015-02,1
610,Inyo,2016-07,1
612,Inyo,2016-09,1
614,Inyo,2018-02,1
615,Inyo,2018-04,1
616,Inyo,2018-07,1
618,Inyo,2019-01,1
622,Inyo,2019-09,1
624,Inyo,2019-11,1
626,Kern,2013-05,1
628,Kern,2013-07,1
632,Kern,2013-08,1
634,Kern,2014-06,1
636,Kern,2014-07,1
640,Kern,2014-08,1
642,Kern,2015-06,1
644,Kern,2015-08,1
646,Kern,2015-09,1
648,Kern,2016-05,1
649,Kern,2016-06,1
653,Kern,2016-07,1
662,Kern,2016-08,1
669,Kern,2016-09,1
671,Kern,2016-10,1
672,Kern,2017-05,1
678,Kern,2017-06,1
685,Kern,2017-07,1
689,Kern,2017-08,1
691,Kern,2017-09,1
693,Kern,2017-10,1
696,Kern,2018-01,1
719,Kern,2018-04,1
720,Kern,2018-05,1
721,Kern,2018-06,1
722,Kern,2018-07,1
724,Kern,2018-08,1
728,Kern,2018-09,1
729,Kern,2019-01,1
738,Kern,2019-04,1
739,Kern,2019-05,1
744,Kern,2019-07,1
746,Kern,2019-08,1
750,Kings,2017-05,1
751,Kings,2017-07,1
752,Kings,2017-08,1
753,Kings,2018-01,1
756,Kings,2018-08,1
757,Kings,2019-01,1
758,Kings,2019-04,1
759,Kings,2019-06,1
760,Lake,2013-01,1
762,Lake,2013-06,1
768,Lake,2013-08,1
772,Lake,2013-09,1
774,Lake,2013-11,1
780,Lake,2014-05,1
782,Lake,2014-07,1
784,Lake,2014-09,1
786,Lake,2015-06,1
788,Lake,2015-07,1
789,Lake,2015-08,1
796,Lake,2015-09,1
798,Lake,2016-06,1
800,Lake,2016-07,1
804,Lake,2016-08,1
812,Lake,2017-07,1
813,Lake,2017-08,1
814,Lake,2017-09,1
817,Lake,2017-10,1
820,Lake,2018-01,1
827,Lake,2018-02,1
828,Lake,2018-06,1
830,Lake,2018-07,1
834,Lake,2018-08,1
836,Lake,2018-09,1
838,Lake,2019-01,1
848,Lake,2019-08,1
850,Lake,2019-09,1
854,Lake,2019-10,1
855,Lake,2019-11,1
858,Lassen,2013-08,1
860,Lassen,2015-06,1
863,Lassen,2015-07,1
864,Lassen,2015-08,1
868,Lassen,2015-09,1
870,Lassen,2016-07,1
871,Lassen,2016-08,1
872,Lassen,2016-09,1
874,Lassen,2017-06,1
875,Lassen,2017-07,1
877,Lassen,2017-08,1
882,Lassen,2018-01,1
890,Lassen,2018-06,1
892,Lassen,2018-07,1
898,Lassen,2018-09,1
899,Lassen,2018-11,1
900,Lassen,2019-01,1
910,Lassen,2019-07,1
914,Lassen,2019-08,1
923,Lassen,2019-09,1
926,Lassen,2019-10,1
930,Los Angeles,2013-05,1
935,Los Angeles,2013-06,1
936,Los Angeles,2013-08,1
938,Los Angeles,2013-09,1
940,Los Angeles,2014-01,1
942,Los Angeles,2014-08,1
944,Los Angeles,2014-12,1
946,Los Angeles,2015-06,1
948,Los Angeles,2015-07,1
949,Los Angeles,2015-08,1
954,Los Angeles,2016-04,1
956,Los Angeles,2016-05,1
958,Los Angeles,2016-06,1
961,Los Angeles,2016-07,1
964,Los Angeles,2016-08,1
965,Los Angeles,2016-11,1
967,Los Angeles,2017-06,1
972,Los Angeles,2017-07,1
973,Los Angeles,2017-08,1
975,Los Angeles,2017-09,1
976,Los Angeles,2017-10,1
977,Los Angeles,2017-12,1
980,Los Angeles,2018-01,1
991,Los Angeles,2018-03,1
992,Los Angeles,2018-04,1
