,County,Date,fire
2838,Sonoma,2018-01,1
2844,Sonoma,2018-02,1
2847,Sonoma,2018-04,1
2848,Sonoma,2018-06,1
2849,Sonoma,2019-01,1
2850,Sonoma,2019-10,1
2851,Sonoma,2019-11,1
2852,Stanislaus,2013-07,1
2854,Stanislaus,2014-05,1
2856,Stanislaus,2015-07,1
2858,Stanislaus,2016-06,1
2860,Stanislaus,2016-08,1
2864,Stanislaus,2017-06,1
2865,Stanislaus,2017-07,1
2868,Stanislaus,2017-09,1
2869,Stanislaus,2017-10,1
2870,Stanislaus,2018-01,1
2876,Stanislaus,2018-05,1
2877,Stanislaus,2019-01,1
2878,Stanislaus,2019-06,1
2882,Stanislaus,2019-07,1
2886,Stanislaus,2019-09,1
2889,Stanislaus,2019-10,1
2892,State of Nevada,2019-07,1
2894,State of Oregon,2019-08,1
2896,Sutter,2016-09,1
2898,Sutter,2018-07,1
2899,Sutter,2019-01,1
2900,Sutter,2019-06,1
2902,Tehama,2013-05,1
2904,Tehama,2013-07,1
2908,Tehama,2013-08,1
2910,Tehama,2013-09,1
2912,Tehama,2014-01,1
2914,Tehama,2014-06,1
2916,Tehama,2015-06,1
2918,Tehama,2015-07,1
2920,Tehama,2015-08,1
2922,Tehama,2016-06,1
2927,Tehama,2016-07,1
2932,Tehama,2016-08,1
2934,Tehama,2016-09,1
2936,Tehama,2017-06,1
2939,Tehama,2017-07,1
2941,Tehama,2017-08,1
2943,Tehama,2017-10,1
2946,Tehama,2017-11,1
2947,Tehama,2018-01,1
2958,Tehama,2018-05,1
2959,Tehama,2018-06,1
2966,Tehama,2018-07,1
2969,Tehama,2018-09,1
2970,Tehama,2018-10,1
2971,Tehama,2018-11,1
2972,Tehama,2019-01,1
2986,Tehama,2019-05,1
2988,Tehama,2019-06,1
2990,Tehama,2019-09,1
2993,Tehama,2019-10,1
3001,Tehama,2019-11,1
3003,Tehama,2019-12,1
3004,Trinity,2014-07,1
3006,Trinity,2014-08,1
3008,Trinity,2015-06,1
3010,Trinity,2015-07,1
3015,Trinity,2015-08,1
3020,Trinity,2015-09,1
3022,Trinity,2017-08,1
3026,Trinity,2017-09,1
3027,Trinity,2017-10,1
3028,Trinity,2018-01,1
3034,Trinity,2018-06,1
3035,Trinity,2018-07,1
3036,Trinity,2018-09,1
3038,Trinity,2019-01,1
3042,Trinity,2019-09,1
3046,Tulare,2013-08,1
3047,Tulare,2013-09,1
3050,Tulare,2015-07,1
3054,Tulare,2015-08,1
3055,Tulare,2015-09,1
3056,Tulare,2016-06,1
3058,Tulare,2016-08,1
3059,Tulare,2016-10,1
3061,Tulare,2016-11,1
3062,Tulare,2016-12,1
3064,Tulare,2017-05,1
3065,Tulare,2017-06,1
3069,Tulare,2017-07,1
3074,Tulare,2017-08,1
3076,Tulare,2017-09,1
3077,Tulare,2018-01,1
3090,Tulare,2018-02,1
3091,Tulare,2018-05,1
3092,Tulare,2018-07,1
3094,Tulare,2018-08,1
3095,Tulare,2018-10,1
3096,Tulare,2019-01,1
3102,Tulare,2019-06,1
3112,Tulare,2019-08,1
3113,Tulare,2019-09,1
3116,Tuolumne,2013-06,1
3118,Tuolumne,2013-08,1
3121,Tuolumne,2013-09,1
3122,Tuolumne,2014-06,1
3126,Tuolumne,2014-09,1
3128,Tuolumne,2015-07,1
3129,Tuolumne,2015-08,1
3132,Tuolumne,2015-09,1
3134,Tuolumne,2016-05,1
3135,Tuolumne,2016-06,1
3136,Tuolumne,2016-07,1
3137,Tuolumne,2016-08,1
3138,Tuolumne,2016-09,1
3139,Tuolumne,2016-10,1
3140,Tuolumne,2017-06,1
3141,Tuolumne,2017-07,1
3143,Tuolumne,2017-08,1
3144,Tuolumne,2017-09,1
3145,Tuolumne,2018-01,1
3149,Tuolumne,2018-03,1
3150,Tuolumne,2018-06,1
3151,Tuolumne,2018-08,1
3152,Tuolumne,2018-09,1
3153,Tuolumne,2019-01,1
3156,Tuolumne,2019-08,1
3158,Tuolumne,2019-09,1
3160,Ventura,2013-05,1
3164,Ventura,2013-11,1
3166,Ventura,2013-12,1
3168,Ventura,2014-09,1
3170,Ventura,2015-06,1
3172,Ventura,2015-08,1
3176,Ventura,2015-11,1
3180,Ventura,2016-04,1
3182,Ventura,2016-05,1
3184,Ventura,2016-06,1
3186,Ventura,2016-07,1
3192,Ventura,2017-07,1
3193,Ventura,2017-10,1
3194,Ventura,2017-12,1
3195,Ventura,2018-01,1
3198,Ventura,2018-11,1
3202,Ventura,2019-01,1
3207,Ventura,2019-03,1
3208,Ventura,2019-07,1
3210,Ventura,2019-09,1
3212,Ventura,2019-10,1
3217,Ventura,2019-11,1
3220,Yolo,2013-11,1
3222,Yolo,2014-07,1
3224,Yolo,2016-06,1
3226,Yolo,2016-07,1
3228,Yolo,2016-08,1
3230,Yolo,2017-07,1
3231,Yolo,2018-01,1
3232,Yolo,2018-06,1
3234,Yolo,2018-07,1
3235,Yolo,2019-01,1
3238,Yolo,2019-06,1
3240,Yolo,2019-08,1
3242,Yolo,2019-11,1
3244,Yuba,2013-07,1
3246,Yuba,2015-06,1
3248,Yuba,2015-08,1
3250,Yuba,2016-08,1
3252,Yuba,2017-05,1
3253,Yuba,2017-07,1
3255,Yuba,2017-08,1
3256,Yuba,2017-09,1
3257,Yuba,2017-10,1
3258,Yuba,2018-01,1
3263,Yuba,2018-02,1
3264,Yuba,2019-06,1
3270,Yuba,2019-07,1
