ArchiveYear,County,Extinguished,Started
2013,El Dorado,2013-08-16T17:55:00Z,2013-08-16T13:55:00Z
2013,San Bernardino,2013-08-18T20:55:00Z,2013-08-17T17:25:00Z
2013,Fresno,2013-06-13T21:30:00Z,2013-06-13T11:54:00Z
2013,Monterey,2013-06-29T18:30:00Z,2013-06-29T14:09:00Z
2013,Los Angeles,2013-08-11T19:15:00Z,2013-08-09T17:15:00Z
2013,Tuolumne,2013-06-02T16:55:00Z,2013-06-02T13:30:00Z
2013,San Diego,2013-05-23T08:30:00Z,2013-05-22T16:14:00Z
2013,Mendocino,2013-09-29T18:15:00Z,2013-09-28T13:57:00Z
2013,Modoc,2013-09-24T20:15:00Z,2013-09-05T15:57:00Z
2013,San Bernardino,2013-08-30T08:00:00Z,2013-08-24T15:09:00Z
2013,Lassen,2013-08-12T09:30:00Z,2013-08-09T15:51:00Z
2013,Amador,2013-06-13T09:45:00Z,2013-06-12T16:43:00Z
2013,San Luis Obispo,2013-09-24T17:30:00Z,2013-09-24T03:20:00Z
2013,Butte,2013-08-04T14:45:00Z,2013-08-01T16:01:00Z
2013,Madera,2013-05-20T19:10:00Z,2013-05-19T15:07:00Z
2013,Riverside,2013-05-21T19:30:00Z,2013-05-21T14:16:00Z
2013,San Luis Obispo,2013-07-07T22:00:00Z,2013-07-07T13:16:00Z
2013,Mendocino,2013-11-22T17:30:00Z,2013-11-22T10:06:00Z
2013,Butte,2013-09-01T18:00:00Z,2013-08-31T17:23:00Z
2013,Fresno,2013-04-09T15:30:00Z,2013-04-09T12:35:00Z
2013,Tehama,2013-09-15T19:00:00Z,2013-09-15T17:39:00Z
2013,San Bernardino,2013-07-26T18:15:00Z,2013-07-25T15:09:00Z
2013,Madera,2013-06-14T16:30:00Z,2013-06-12T16:40:00Z
2013,San Bernardino,2013-05-15T08:15:00Z,2013-05-13T13:30:00Z
2013,Napa,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z
2013,San Bernardino,2013-09-12T08:45:00Z,2013-09-11T16:57:00Z
2013,Yuba,2013-07-08T17:30:00Z,2013-07-08T09:59:00Z
2013,Butte,2013-05-04T19:00:00Z,2013-05-01T04:16:00Z
2013,Lake,2013-08-18T18:30:00Z,2013-08-16T17:57:00Z
2013,Modoc,2013-09-05T21:00:00Z,2013-09-07T17:30:00Z
2013,Ventura,2013-11-15T16:00:00Z,2013-11-14T11:05:00Z
2013,Riverside,2013-08-08T09:00:00Z,2013-08-06T13:39:00Z
2013,Riverside,2013-08-04T18:00:00Z,2013-08-04T16:29:00Z
2013,Nevada,2013-08-31T21:30:00Z,2013-08-31T14:42:00Z
2013,San Luis Obispo,2013-11-09T17:00:00Z,2013-11-08T10:30:00Z
2013,Lake,2013-11-24T08:45:00Z,2013-11-23T12:04:00Z
2013,Siskiyou,2013-08-15T17:00:00Z,2013-08-15T14:40:00Z
2013,Santa Clara,2013-07-12T17:45:00Z,2013-07-12T13:09:00Z
2013,Alameda,2013-07-04T11:30:00Z,2013-07-04T10:00:00Z
2013,San Luis Obispo,2013-05-25T18:45:00Z,2013-05-25T17:35:00Z
2013,Calaveras,2013-08-19T07:10:00Z,2013-08-17T10:11:00Z
2013,Fresno,2013-06-19T08:45:00Z,2013-06-17T14:41:00Z
2013,Mendocino,2013-07-23T16:00:00Z,2013-07-23T13:29:00Z
2013,Ventura,2013-12-11T17:30:00Z,2013-12-10T02:26:00Z
2013,Shasta,2013-07-09T15:00:00Z,2013-07-09T11:59:00Z
2013,Riverside,2013-06-08T19:00:00Z,2013-06-08T15:37:00Z
2013,San Mateo,2013-09-07T20:00:00Z,2013-09-07T13:55:00Z
2013,Santa Clara,2013-12-31T16:00:00Z,2013-12-31T05:30:00Z
2013,Orange,2013-10-09T08:00:00Z,2013-10-06T10:52:00Z
2013,San Diego,2013-09-28T09:15:00Z,2013-09-26T17:29:00Z
2013,Riverside,2013-08-16T21:00:00Z,2013-08-16T13:31:00Z
2013,Siskiyou,2013-07-31T19:25:00Z,2013-07-31T15:25:00Z
2013,Riverside,2013-07-20T19:30:00Z,2013-07-19T16:21:00Z
2013,Riverside,2013-06-15T08:00:00Z,2013-06-14T13:47:00Z
2013,Riverside,2013-05-17T08:30:00Z,2013-05-16T13:48:00Z
2013,El Dorado,2013-08-24T11:45:00Z,2013-08-24T14:54:00Z
2013,Lake,2013-08-07T18:30:00Z,2013-08-07T12:35:00Z
2013,Alameda,2013-07-06T14:30:00Z,2013-07-06T13:09:00Z
2013,Fresno,2013-06-13T21:30:00Z,2013-06-13T15:54:00Z
2013,San Luis Obispo,2013-05-20T19:10:00Z,2013-05-20T15:45:00Z
2013,Shasta,2013-08-05T08:17:00Z,2013-08-04T18:00:00Z
2013,Shasta,2013-11-07T19:45:00Z,2013-11-07T16:10:00Z
2013,Calaveras,2013-07-23T15:10:00Z,2013-07-22T12:34:00Z
2013,Lake,2013-09-15T17:14:00Z,2013-09-15T19:45:00Z
2013,Lake,2013-06-06T07:00:00Z,2013-06-05T16:05:00Z
2013,San Bernardino,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z
2013,Sonoma,2013-06-14T15:45:00Z,2013-06-10T00:46:00Z
2013,Solano,2013-06-14T15:45:00Z,2013-06-10T00:46:00Z
2013,Lake,2013-06-14T15:45:00Z,2013-06-10T00:46:00Z
2013,Colusa,2013-06-14T15:45:00Z,2013-06-10T00:46:00Z
2013,Shasta,2013-08-14T20:35:00Z,2013-08-14T15:37:00Z
2013,San Diego,2013-07-28T17:50:00Z,2013-07-28T09:43:00Z
2013,Lake,2013-06-20T13:15:00Z,2013-06-20T14:29:00Z
2013,Riverside,2013-05-20T18:50:00Z,2013-05-20T13:47:00Z
2013,Lake,2013-11-24T18:45:00Z,2013-11-23T14:17:00Z
2013,Mendocino,2013-12-30T20:30:00Z,2013-12-30T11:00:00Z
2013,Riverside,2013-07-19T19:30:00Z,2013-07-19T17:31:00Z
2013,Madera,2013-05-13T09:00:00Z,2013-05-12T13:02:00Z
2013,Humboldt,2013-08-03T15:00:00Z,2013-08-03T08:00:00Z
2013,Riverside,2013-06-09T16:45:00Z,2013-06-09T12:30:00Z
2014,El Dorado,2014-10-09T17:20:00Z,2014-09-13T16:32:00Z
2014,Siskiyou,2014-08-06T10:00:00Z,2014-08-02T09:00:00Z
2014,Shasta,2014-08-15T14:00:00Z,2014-07-30T20:15:00Z
2014,Siskiyou,2014-08-18T09:45:00Z,2014-07-30T23:00:00Z
2014,Siskiyou,2014-09-02T13:00:00Z,2014-07-30T00:00:00Z
2014,Shasta,2014-08-25T10:00:00Z,2014-07-31T18:04:00Z
2014,San Diego,2014-05-21T17:00:00Z,2014-05-15T14:45:00Z
2014,Madera,2014-07-28T14:30:00Z,2014-07-28T05:45:00Z
2014,Modoc,2014-08-13T07:00:00Z,2014-07-30T19:01:00Z
2014,Shasta,2014-07-26T20:00:00Z,2014-07-11T15:37:00Z
2014,Mendocino,2014-09-09T19:30:00Z,2014-07-30T06:27:00Z
2014,Yolo,2014-07-12T18:00:00Z,2014-07-04T21:32:00Z
2014,Shasta,2014-11-14T13:00:00Z,2014-07-30T20:30:00Z
2014,Siskiyou,2014-08-18T10:00:00Z,2014-07-31T17:45:00Z
2014,San Diego,2014-05-19T09:20:00Z,2014-05-14T09:45:00Z
2014,Monterey,2014-06-21T19:00:00Z,2014-06-19T15:14:00Z
2014,Mariposa,2014-12-12T13:45:00Z,2014-08-16T00:00:00Z
2014,Mariposa,2014-08-10T08:15:00Z,2014-07-26T17:00:00Z
2014,Napa,2014-07-09T18:00:00Z,2014-07-01T12:08:00Z
2014,Lake,2014-07-09T18:00:00Z,2014-07-01T12:08:00Z
2014,Amador,2014-08-02T19:15:00Z,2014-07-25T16:34:00Z
2014,El Dorado,2014-08-02T19:15:00Z,2014-07-25T16:34:00Z
2014,Kern,2014-08-27T18:00:00Z,2014-08-18T14:30:00Z
2014,Kern,2014-06-20T08:30:00Z,2014-06-13T17:00:00Z
2014,San Bernardino,2014-05-05T17:30:00Z,2014-04-30T08:00:00Z
2014,San Diego,2014-05-22T18:15:00Z,2014-05-14T16:00:00Z
2014,Los Angeles,2014-01-27T10:00:00Z,2014-01-16T05:50:00Z
2014,Kern,2014-07-21T14:45:00Z,2014-07-11T13:46:00Z
2014,Modoc,2014-07-03T10:30:00Z,2014-07-01T19:00:00Z
2014,San Diego,2014-05-17T20:14:00Z,2014-05-13T11:00:00Z
2014,Modoc,2014-07-07T07:00:00Z,2014-07-03T15:46:00Z
2014,San Diego,2014-05-20T23:30:00Z,2014-05-16T11:24:00Z
2014,Shasta,2014-09-16T09:30:00Z,2014-09-10T00:30:00Z
2014,Mariposa,2014-08-20T19:00:00Z,2014-07-17T01:00:00Z
2014,Orange,2014-09-22T15:00:00Z,2014-09-12T10:30:00Z
2014,Tehama,2014-01-10T18:30:00Z,2014-01-02T20:00:00Z
2014,Mariposa,2014-06-02T18:30:00Z,2014-05-26T15:33:00Z
2014,Santa Barbara,2014-05-19T09:20:00Z,2014-05-13T14:00:00Z
2014,Madera,2014-08-25T08:25:00Z,2014-08-18T13:50:00Z
2014,San Diego,2014-05-17T00:00:00Z,2014-05-14T10:30:00Z
2014,Trinity,2014-08-28T19:00:00Z,2014-08-24T16:36:00Z
2014,Siskiyou,2014-10-11T18:50:00Z,2014-09-15T13:38:00Z
2014,Tuolumne,2014-06-05T20:00:00Z,2014-06-04T11:45:00Z
2014,Placer,2014-10-15T07:50:00Z,2014-10-08T13:33:00Z
2014,Mendocino,2014-09-17T16:10:00Z,2014-09-13T15:48:00Z
2014,Monterey,2014-03-21T18:00:00Z,2014-03-19T16:45:00Z
2014,Butte,2014-08-01T17:30:00Z,2014-07-28T13:11:00Z
2014,San Diego,2014-05-15T18:30:00Z,2014-05-14T13:00:00Z
2014,Riverside,2014-03-16T08:30:00Z,2014-03-15T16:37:00Z
2014,Humboldt,2014-01-08T19:15:00Z,2014-01-04T12:00:00Z
2014,Madera,2014-09-22T07:15:00Z,2014-09-14T13:36:00Z
2014,Mariposa,2014-10-12T18:00:00Z,2014-10-07T15:05:00Z
2014,Mariposa,2014-09-12T09:00:00Z,2014-09-05T12:39:00Z
2014,Merced,2014-07-25T09:15:00Z,2014-07-24T12:06:00Z
2014,Los Angeles,2014-12-12T13:30:00Z,2014-08-17T14:30:00Z
2014,Tuolumne,2014-06-06T09:30:00Z,2014-06-05T13:04:00Z
2014,Nevada,2014-09-18T18:45:00Z,2014-09-13T14:07:00Z
2014,Tehama,2014-06-13T13:50:00Z,2014-06-13T12:23:00Z
2014,San Diego,2014-07-06T09:15:00Z,2014-07-03T10:43:00Z
2014,Humboldt,2014-09-15T11:00:00Z,2014-09-12T15:00:00Z
2014,Los Angeles,2014-12-12T14:00:00Z,2014-08-14T12:48:00Z
2014,Lake,2014-05-26T08:45:00Z,2014-05-25T12:20:00Z
2014,Shasta,2014-07-10T07:30:00Z,2014-07-09T13:45:00Z
2014,Mariposa,2014-06-13T18:30:00Z,2014-06-10T15:11:00Z
2014,Santa Clara,2014-07-01T08:30:00Z,2014-06-30T14:10:00Z
2014,San Diego,2014-03-11T11:00:00Z,2014-03-08T12:30:00Z
2014,Calaveras,2014-06-21T19:00:00Z,2014-06-20T15:27:00Z
2014,Placer,2014-01-22T16:35:00Z,2014-01-22T13:10:00Z
2014,Inyo,2014-04-21T19:15:00Z,2014-04-19T15:54:00Z
2014,Fresno,2014-01-26T18:00:00Z,2014-01-25T06:37:00Z
2014,San Diego,2014-05-19T09:20:00Z,2014-05-14T12:12:00Z
2014,Modoc,2014-08-13T06:15:00Z,2014-08-12T15:00:00Z
2014,Lake,2014-09-05T18:30:00Z,2014-09-03T16:03:00Z
2014,Riverside,2014-09-01T22:00:00Z,2014-09-01T14:03:00Z
2014,El Dorado,2014-09-17T18:45:00Z,2014-09-14T09:15:00Z
2014,Mariposa,2014-06-08T19:45:00Z,2014-06-06T17:29:00Z
2014,Calaveras,2014-06-24T19:00:00Z,2014-06-22T12:37:00Z
2014,Nevada,2014-08-19T16:45:00Z,2014-08-18T10:00:00Z
2014,Santa Clara,2014-08-31T08:15:00Z,2014-08-28T15:10:00Z
2014,Contra Costa,2014-07-12T18:00:00Z,2014-07-11T21:57:00Z
2014,Mariposa,2014-09-09T19:45:00Z,2014-09-07T16:46:00Z
2014,Riverside,2014-07-24T09:00:00Z,2014-07-23T10:47:00Z
2014,Shasta,2014-07-08T18:30:00Z,2014-07-05T18:44:00Z
2014,Monterey,2014-05-01T19:00:00Z,2014-04-30T14:25:00Z
2014,Butte,2014-07-16T08:00:00Z,2014-07-14T18:00:00Z
2014,Tuolumne,2014-09-05T09:15:00Z,2014-09-04T11:51:00Z
2014,Kern,2014-07-06T08:30:00Z,2014-07-01T18:15:00Z
2014,Solano,2014-06-13T08:00:00Z,2014-06-12T14:29:00Z
2014,Inyo,2014-09-21T09:00:00Z,2014-09-16T19:07:00Z
2014,Mendocino,2014-09-22T16:30:00Z,2014-09-21T16:13:00Z
2014,Butte,2014-01-02T07:30:00Z,2014-01-01T10:46:00Z
2014,Riverside,2014-03-29T17:15:00Z,2014-03-28T14:31:00Z
2014,San Diego,2014-05-20T11:30:00Z,2014-05-14T17:43:00Z
2014,Shasta,2014-05-15T11:30:00Z,2014-05-14T14:00:00Z
